uid,severity,expected_in,legacy_subject,legacy_meta,new_subject,new_meta,note
"0804250001","WARN","(unexpected)","","","Economics","Minor 1 (Semester I & II)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Film Studies","IDC 2 (Semester II)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Sociology","IDC 3 (Semester III)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Alternative English","AEC (Semester III & IV)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Domestic Applications of Electronics","CVAC 4 (Semester II)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Economics","Minor 1 (Semester I & II)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Physics","Minor 2 (Semester III & IV)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Film Studies","IDC 2 (Semester II)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Sociology","IDC 3 (Semester III)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Alternative English","AEC (Semester III & IV)","new DB has selection not present in legacy scope"
"0804250001","WARN","(unexpected)","","","Domestic Applications of Electronics","CVAC 4 (Semester II)","new DB has selection not present in legacy scope"
"0904230001","INFO","papers catalog (compulsory in new schema)","PHYSICS","Skill Enhancement Course (class 6)","","","legacy optional, but subject type has no meta in new DB"
"0904230010","INFO","papers catalog (compulsory in new schema)","PHYSICS","Skill Enhancement Course (class 6)","","","legacy optional, but subject type has no meta in new DB"
"0904230012","INFO","papers catalog (compulsory in new schema)","PHYSICS","Skill Enhancement Course (class 6)","","","legacy optional, but subject type has no meta in new DB"
"0904230013","INFO","papers catalog (compulsory in new schema)","PHYSICS","Skill Enhancement Course (class 6)","","","legacy optional, but subject type has no meta in new DB"
"0904230008","INFO","papers catalog (compulsory in new schema)","PHYSICS","Skill Enhancement Course (class 6)","","","legacy optional, but subject type has no meta in new DB"